336059	"us"
67780	"gb"
62369	"cn"
60491	"in"
53110	"de"
41105	"br"
40921	"ca"
38639	"fr"
28865	"ru"
25873	"jp"
22812	"au"
21408	"es"
20274	"nl"
15569	"se"
14514	"ua"
14231	"it"
13472	"pl"
10230	"id"
9670	"ch"
9542	"mx"
8026	"tr"
7956	"ar"
7939	"be"
7350	"no"
7236	"dk"
6807	"tw"
6201	"co"
6135	"fi"
5796	"nz"
5530	"vn"
5507	"at"
5468	"kr"
5410	"ie"
5376	"cz"
5283	"pt"
5148	"ph"
5097	"za"
4957	"ro"
4608	"sg"
3941	"cl"
3892	"by"
3646	"il"
3593	"bg"
3570	"hu"
3441	"bd"
3296	"pk"
3108	"gr"
2996	"th"
2956	"ir"
2428	"my"
2368	"pe"
2351	"ve"
2159	"rs"
2120	"eg"
1850	"hr"
1615	"lk"
1562	"sk"
1515	"ke"
1513	"lt"
1429	"np"
1405	"cr"
1392	"ee"
1233	"ae"
1172	"si"
1164	"uy"
1164	"ng"
1150	"lv"
1045	"ec"
955	"tn"
923	"ma"
824	"is"
662	"kz"
650	"gt"
628	"do"
595	"bo"
527	"sa"
507	"lu"
492	"md"
477	"pa"
475	"ba"
473	"sv"
437	"mk"
435	"gh"
432	"dz"
402	"jo"
396	"kh"
391	"am"
382	"ug"
380	"py"
355	"cy"
352	"lb"
312	"et"
301	"ge"
299	"ni"
297	"hn"
296	"mm"
295	"bj"
283	"az"
273	"cu"
245	"jm"
231	"tz"
225	"mn"
210	"ps"
206	"sn"
199	"uz"
188	"cm"
179	"kg"
162	"kw"
157	"sy"
153	"qa"
148	"la"
146	"al"
136	"sz"
132	"iq"
131	"mu"
131	"mg"
129	"va"
129	"zw"
113	"lr"
102	"bh"
101	"mz"
96	"bs"
94	"ci"
93	"me"
93	"tt"
91	"aq"
88	"cd"
88	"af"
86	"sd"
82	"ao"
80	"om"
79	"mv"
79	"rw"
79	"ye"
74	"im"
72	"sc"
69	"zm"
64	"so"
62	"mw"
60	"kp"
59	"na"
57	"ht"
57	"tj"
53	"mt"
52	"ga"
49	"tg"
48	"gi"
48	"sl"
47	"je"
46	"ly"
46	"bf"
45	"bw"
33	"bb"
30	"tm"
29	"ml"
29	"bm"
27	"bt"
27	"ss"
26	"ad"
24	"bz"
24	"li"
23	"fo"
23	"gl"
23	"ky"
23	"gd"
21	"gy"
20	"cv"
18	"vu"
18	"fj"
17	"bn"
16	"tl"
16	"gg"
16	"mr"
16	"lc"
15	"pg"
15	"cg"
14	"sm"
14	"bi"
14	"ne"
13	"mc"
12	"gn"
12	"ls"
10	"sr"
10	"cf"
9	"dj"
9	"dm"
9	"gm"
7	"vc"
6	"sb"
6	"vg"
6	"ws"
5	"to"
5	"pf"
5	"km"
5	"tc"
5	"fm"
4	"nu"
4	"td"
4	"mh"
4	"ag"
4	"io"
3	"pw"
2	"gs"
2	"gw"
2	"kn"
2	"ki"
2	"fk"
2	"ms"
2	"ck"
2	"eh"
1	"er"
1	"nr"
1	"tf"
1	"gq"
1	"tv"
1	"sx"
1	"sh"
